FFMC,BUI,WSV,WindDir,FWIBin,Season,Ecoregion
94.02457731,72.76302756,13.7515518,103,1,Spring,fire1
94.12596643,80.42388229,7.61418792,100,1,Spring,fire1
93.81265416,105.2628395,4.25078748,68,1,Spring,fire1
93.86327039,109.6521083,4.54629024,134,1,Spring,fire1
93.30373904,113.3084912,5.52172896,91,1,Spring,fire1
90.45453762,65.11575776,21.97230948,89,1,Spring,fire1
94.48465831,82.79514369,6.03845712,114,1,Summer,fire1
94.80499999,86.86146525,9.0063252,124,1,Summer,fire1
93.32324321,89.12642707,16.2138618,144,1,Summer,fire1
92.55754818,91.56605135,11.31877692,295,1,Summer,fire1
93.58271957,95.05121393,9.87716052,131,1,Summer,fire1
94.31941148,98.88158885,6.08050656,136,1,Summer,fire1
94.24296816,102.1562301,10.55467008,122,1,Summer,fire1
92.37318817,110.2521973,11.28993624,134,1,Summer,fire1
92.23018753,112.9139298,11.53970532,66,1,Summer,fire1
93.10426911,116.2364834,6.65245188,100,1,Summer,fire1
93.88856512,119.7065439,5.70099276,120,1,Summer,fire1
93.93920641,122.8821761,11.93105952,123,1,Summer,fire1
93.52895347,121.5384604,10.34385552,42,1,Summer,fire1
93.04018577,97.80784613,16.23110148,22,1,Summer,fire1
91.34705258,80.96314246,20.92973616,69,1,Summer,fire1
94.03650426,75.77273254,13.39428744,111,1,Summer,fire1
93.33873358,80.13020559,11.81537784,110,1,Summer,fire1
92.81910796,83.92007477,15.04432224,150,1,Summer,fire1
91.68157413,87.39012289,16.94076012,303,1,Summer,fire1
91.73148678,91.29088391,13.32908784,169,1,Summer,fire1
93.20578227,110.1179326,12.83011812,136,1,Summer,fire1
94.31712361,116.1949246,12.86063964,149,1,Summer,fire1
94.36790639,121.9088695,5.36135976,262,1,Summer,fire1
94.83101698,128.3710422,7.3338768,307,1,Summer,fire1
95.95843785,135.2048308,8.53068456,88,1,Summer,fire1
96.36948567,141.8369441,5.69239452,96,1,Summer,fire1
96.42094603,148.2933048,6.65450172,112,1,Summer,fire1
96.47242339,154.6004331,2.93977044,95,1,Summer,fire1
96.52391774,160.8277737,9.65534976,100,2,Summer,fire1
96.57542909,166.4124027,9.33950772,105,2,Summer,fire1
96.21785677,171.7753221,8.976429,45,2,Summer,fire1
96.26926708,177.8796486,2.29331808,71,1,Summer,fire1
96.70299063,184.0541634,10.12957812,64,4,Summer,fire1
96.75456111,189.5252013,9.3006036,79,3,Summer,fire1
96.8061486,194.6636735,12.69223092,5,5,Summer,fire1
94.83480494,198.1764693,8.38142784,304,1,Summer,fire1
95.20287104,202.8955857,4.32848952,61,1,Summer,fire1
95.61747966,207.6822473,10.2243276,99,2,Summer,fire1
94.77732096,211.7076556,10.368648,161,2,Summer,fire1
94.25551523,215.7115592,10.79328564,241,1,Summer,fire1
94.94137574,220.6219632,3.18794184,252,1,Summer,fire1
95.41536583,225.8232083,0.8387154,227,1,Summer,fire1
95.90906717,231.3030839,5.74770348,268,1,Summer,fire1
96.41284366,236.919562,5.29794036,287,2,Summer,fire1
96.48540304,242.5709584,4.06602216,136,1,Summer,fire1
96.53690168,248.1042739,6.44742468,350,2,Summer,fire1
96.58841732,253.5328783,4.64203548,213,2,Summer,fire1
96.63994996,258.9922294,7.60407372,128,2,Summer,fire1
96.69149962,264.4659201,7.21258272,115,2,Summer,fire1
97.10890364,269.8650104,7.1663238,120,3,Summer,fire1
97.16060813,275.0775971,5.82174756,308,2,Summer,fire1
96.67251782,279.7598045,6.01051356,213,2,Summer,fire1
96.07485641,284.4143199,9.16245432,248,2,Summer,fire1
96.11346007,289.2905802,6.1472286,259,2,Summer,fire1
96.16483591,294.7473281,1.688620824,122,1,Summer,fire1
96.21622871,300.7709102,9.251163,128,3,Summer,fire1
96.18270911,305.5363397,13.86247068,121,5,Summer,fire1
93.92410736,309.0512353,10.78381908,116,1,Summer,fire1
93.29076162,313.3322857,8.09500464,133,1,Summer,fire1
93.80168959,318.6184555,6.1599618,157,1,Summer,fire1
95.38940145,324.7095484,4.85538876,235,1,Summer,fire1
96.18354189,331.3004556,1.8164736,305,1,Summer,fire1
96.67653723,338.2778386,1.94978412,123,1,Summer,fire1
96.72809897,344.6127529,9.24392664,133,4,Summer,fire1
96.44013148,349.6439417,12.82679568,124,5,Summer,fire1
96.49161516,354.6907246,9.37039896,150,4,Summer,fire1
96.48286418,359.815938,7.2507888,253,2,Summer,fire1
96.74623819,365.7747243,5.47852356,295,2,Summer,fire1
97.51949494,372.4194837,5.82645492,107,3,Summer,fire1
98.03238849,379.341982,5.75587908,117,4,Summer,fire1
98.08439786,386.0387257,5.31326268,51,4,Summer,fire1
98.13642441,392.7131149,2.7165006,115,2,Summer,fire1
98.18846813,398.9125325,1.363497732,5,2,Summer,fire1
97.79148877,404.7612725,4.53085668,356,2,Summer,fire1
97.21838703,410.186666,4.45753188,266,2,Summer,fire1
97.23022408,415.9560946,2.903139,308,2,Summer,fire1
97.28196862,421.7806922,3.9458754,84,2,Summer,fire1
97.33373024,427.8305718,6.32404692,107,3,Summer,fire1
97.38550895,433.7248329,6.213411,114,3,Summer,fire1
95.96598718,438.3018151,9.823887,86,3,Summer,fire1
93.96304393,441.8264169,9.45478692,73,1,Summer,fire1
91.21660258,190.4823501,7.66851372,15,1,Summer,fire1
91.64127676,117.8223769,9.05915808,41,1,Summer,fire1
91.8356715,122.6817069,8.63879256,41,1,Summer,fire1
94.10955645,140.2008811,7.98949116,91,1,Summer,fire1
93.68874636,145.1727315,11.83552056,92,1,Summer,fire1
93.73932168,150.2852138,7.55388432,22,1,Summer,fire1
94.36023793,155.6920557,2.9612403,114,1,Summer,fire1
95.17336691,161.4074695,4.08410856,320,1,Summer,fire1
95.22443238,166.8406771,6.53955696,251,1,Summer,fire1
95.29816154,172.5880176,7.48036836,34,1,Summer,fire1
96.82897859,178.9050482,5.38485912,15,2,Summer,fire1
96.89466199,185.0716247,3.48561558,274,1,Summer,fire1
96.30365801,190.5122788,4.72934448,105,1,Summer,fire1
96.35509664,196.1776286,1.50249492,137,1,Summer,fire1
96.40655225,201.8489119,3.74486112,277,1,Summer,fire1
96.74200192,207.9899513,6.20299944,45,2,Summer,fire1
97.2231093,214.2016456,5.40784476,105,2,Summer,fire1
96.93647337,219.4745492,5.82134616,215,2,Summer,fire1
96.59655345,224.4756562,5.38497612,293,2,Summer,fire1
96.64808878,229.8279994,8.7733692,69,3,Summer,fire1
96.69964112,234.3830345,9.000252,102,4,Summer,fire1
94.10517564,237.3898141,8.72579664,150,1,Summer,fire1
91.82284201,240.1993863,11.60328168,237,1,Summer,fire1
92.27259458,243.7918073,7.51391208,126,1,Summer,fire1
92.89347897,247.6090876,9.9769626,270,1,Summer,fire1
93.39594481,251.5476349,10.64855592,229,1,Summer,fire1
93.93529073,255.6830243,8.72166492,277,1,Summer,fire1
95.17027347,260.3502286,9.33345,286,2,Summer,fire1
95.31286609,264.998632,9.06837624,281,2,Summer,fire1
95.36397761,203.5122873,7.7462352,61,1,Summer,fire1
94.6859289,207.8668156,6.15053268,121,1,Summer,fire1
94.43173926,212.0859488,3.3166476,322,1,Summer,fire1
93.15845414,215.8638195,12.25783692,249,1,Summer,fire1
93.20885438,220.2044127,12.74291496,150,1,Summer,fire1
94.17977236,224.8802828,9.4701546,118,1,Summer,fire1
94.89082595,229.7981181,3.02673888,82,1,Summer,fire1
95.74756719,234.1175117,8.44084152,123,2,Fall,fire1
94.16515765,236.9680478,15.23524932,99,3,Fall,fire1
92.42625231,242.2450649,13.3808364,97,1,Fall,fire1
92.75534212,245.1758016,11.55980412,143,1,Fall,fire1
91.29444702,246.5566964,14.94631584,171,1,Fall,fire1
91.11789978,248.0779131,12.9839292,141,1,Fall,fire1
93.94397529,253.0918971,8.20910952,108,1,Fall,fire1
95.20040444,256.1599497,5.55641028,110,1,Fall,fire1
94.29267005,258.1627492,4.22352396,65,1,Fall,fire1
94.34344476,260.6198738,7.43328432,101,1,Fall,fire1
90.76477492,262.2349883,10.16039412,88,1,Fall,fire1
90.12081057,267.1932979,11.80576728,315,1,Fall,fire1
91.19365743,268.8835385,12.1839822,13,1,Fall,fire1
92.30845203,137.4886036,12.71154132,118,1,Fall,fire1
92.28994944,115.5923224,11.44999584,73,1,Fall,fire1
92.39019299,122.6941588,12.34414404,54,1,Fall,fire1
92.8984857,126.2981628,8.82596808,74,1,Fall,fire1
92.36919982,131.567577,9.39351816,55,1,Fall,fire1
89.60446299,47.20409695,28.1742948,86,1,Spring,fire1
93.32670274,85.53528176,19.37035224,216,1,Summer,fire1
93.37715853,89.23169307,11.40330744,297,1,Summer,fire1
94.2835536,93.54419896,9.31668444,6,1,Summer,fire1
95.32780702,98.21636825,2.23032384,127,1,Summer,fire1
94.76091547,102.2675751,5.78039976,105,1,Summer,fire1
94.42860183,106.1892234,5.18410224,107,1,Summer,fire1
94.34659947,109.5553961,11.854836,105,1,Summer,fire1
93.02498577,112.0163834,11.31388632,98,1,Summer,fire1
90.43101311,113.8851859,19.0406016,130,1,Summer,fire1
92.74835847,132.2674037,9.0832968,120,1,Summer,fire1
92.79862332,136.1376396,17.62890588,272,1,Summer,fire1
93.31288658,140.9812865,7.15870116,297,1,Summer,fire1
94.25685007,146.400722,3.794157,165,1,Summer,fire1
95.61250565,153.1116606,8.86951944,254,1,Summer,fire1
95.69243091,159.8687735,6.09232176,291,1,Summer,fire1
96.01776299,166.6677766,4.10342004,347,1,Summer,fire1
96.06910723,173.5877195,4.10359104,77,1,Summer,fire1
96.12046842,127.3188051,8.34209064,94,1,Summer,fire1
95.11172139,103.7624616,15.26837652,123,2,Summer,fire1
92.15324238,106.515173,27.9613656,118,4,Summer,fire1
91.35341298,109.6029789,12.564072,324,1,Summer,fire1
93.96013166,89.5237711,8.9594136,111,1,Summer,fire1
94.01079658,95.74464377,5.88315456,119,1,Summer,fire1
94.06147822,101.4530996,9.2704086,117,1,Summer,fire1
93.99539374,106.2945705,16.0969788,122,1,Summer,fire1
94.04607029,111.8018947,5.09002596,307,1,Summer,fire1
95.03474459,118.2469016,3.00323952,90,1,Summer,fire1
96.21815134,125.2519365,11.00631888,102,2,Summer,fire1
96.26956174,131.7424729,5.45668056,87,1,Summer,fire1
96.32098912,137.4431518,4.20718248,113,1,Summer,fire1
96.37243347,143.2279421,9.21434328,103,2,Summer,fire1
96.0603155,148.2031202,10.47018348,111,2,Summer,fire1
95.61288474,152.7953212,11.8434762,274,2,Summer,fire1
95.87905173,158.0007821,9.27737568,357,2,Summer,fire1
96.7904724,164.0633979,4.46857812,80,1,Summer,fire1
96.84207175,170.1942982,9.91219392,86,4,Summer,fire1
96.47373678,175.5141364,12.59861976,120,4,Summer,fire1
95.87330442,180.5227654,8.80786728,65,2,Summer,fire1
95.92460097,185.5221363,4.557276,114,1,Summer,fire1
95.97591446,190.5929947,8.80511724,350,2,Summer,fire1
96.02724488,195.8063765,7.78557744,238,2,Summer,fire1
96.96110185,201.855062,10.8399096,270,4,Summer,fire1
97.73519949,208.34749,8.55652392,114,4,Summer,fire1
98.30850931,214.7742148,3.916494,152,2,Summer,fire1
97.82252284,220.3540584,6.21505044,134,4,Summer,fire1
97.17969725,225.5382166,11.55985308,156,5,Summer,fire1
97.2314251,230.9087071,9.82094292,219,4,Summer,fire1
97.28317004,236.5638231,9.14942448,220,4,Summer,fire1
97.33493206,242.3202865,10.74469572,358,5,Summer,fire1
97.38671116,247.9277876,1.97297532,305,1,Summer,fire1
97.43850737,253.5429142,1.88679024,134,1,Summer,fire1
97.49032067,259.0043576,5.40485172,118,2,Summer,fire1
97.54215108,264.3816509,7.07318532,97,4,Summer,fire1
97.5939986,269.7971482,3.96667512,112,2,Summer,fire1
97.45424322,274.8848752,6.17071752,86,3,Summer,fire1
96.22687348,278.9683453,8.45541,88,2,Summer,fire1
95.04640578,282.9273685,6.81483924,43,1,Summer,fire1
95.09742933,287.2032727,6.42695292,67,1,Summer,fire1
95.14846972,291.9566647,7.58355948,70,1,Summer,fire1
95.19952697,297.3728488,3.55165452,134,1,Summer,fire1
95.7073375,303.8344252,5.070627,152,1,Summer,fire1
95.75857926,309.5050071,8.7805152,326,2,Summer,fire1
95.72451625,315.3028997,2.587318056,306,1,Summer,fire1
95.77576368,321.7052871,1.782191952,121,1,Summer,fire1
96.42283835,328.5675995,1.09877904,119,1,Summer,fire1
96.79611959,335.4663436,1.394442072,137,1,Summer,fire1
96.84772081,342.1314069,3.1667724,152,1,Summer,fire1
96.89933906,348.3622108,7.07000904,107,2,Summer,fire1
96.95097436,355.1583992,7.60545972,222,3,Summer,fire1
97.64343176,361.5920448,6.5913606,249,4,Summer,fire1
97.80743228,367.9080928,2.80730916,115,2,Summer,fire1
97.85936738,373.9337619,2.783861532,135,2,Summer,fire1
97.91131963,379.7357165,6.76047276,117,4,Summer,fire1
97.83787157,385.2124263,6.55546212,117,4,Summer,fire1
